Longitude,Latitude,Pixel,Scan
68.9358323,40.0312498,100,5600
69.108342,40.029133,150,5600
69.280848,40.0267352,200,5600
69.4499459,40.0241118,249,5600
68.5891994,39.8995657,0,5650
68.7615919,39.8980064,50,5650
68.933886,39.8961676,100,5650
69.1061291,39.8940491,150,5650
69.2783685,39.8916504,200,5650
69.4472051,39.8890271,249,5650
68.5878138,39.7645606,0,5700
68.7599414,39.763001,50,5700
68.9319707,39.7611627,100,5700
69.103949,39.7590458,150,5700
69.2759237,39.7566497,200,5700
69.4445009,39.7540299,249,5700
68.5864409,39.629631,0,5750
68.7583053,39.6280724,50,5750
68.9300715,39.6262361,100,5750
69.101787,39.6241222,150,5750
69.2734988,39.62173,200,5750
69.4418184,39.619115,249,5750
68.5851125,39.4947166,0,5800
68.7567153,39.4931606,50,5800
68.9282203,39.4913281,100,5800
69.0996746,39.4892189,150,5800
69.2711256,39.4868324,200,5800
69.4391897,39.484224,249,5800
68.583724,39.359732,0,5850
68.7550676,39.3581758,50,5850
68.9263135,39.3563439,100,5850
69.0975088,39.3542363,150,5850
69.2687007,39.3518525,200,5850
69.4365109,39.3492475,249,5850
68.5823825,39.2247692,0,5900
68.7534685,39.2232124,50,5900
68.9244569,39.221381,100,5900
69.0953949,39.2192747,150,5900
69.2663297,39.2168932,200,5900
69.4338881,39.2142915,249,5900
68.5810512,39.0898277,0,5950
68.7518813,39.0882716,50,5950
68.9226141,39.0864418,100,5950
69.0932967,39.0843382,150,5950
69.2639763,39.0819602,200,5950
69.4312847,39.079363,249,5950
68.579653,38.9548368,0,6000
68.7502296,38.9532783,50,6000
68.9207089,38.951447,100,6000
69.091138,38.9493428,150,6000
69.261564,38.9469653,200,6000
69.4286237,38.9443694,249,6000
68.5782893,38.8198867,0,6050
68.7486139,38.8183273,50,6050
68.9188414,38.8164962,100,6050
69.0890188,38.8143931,150,6050
69.2591931,38.8120177,200,6050
69.4260062,38.8094247,249,6050
68.5769768,38.6849868,0,6100
68.7470509,38.6834296,50,6100
68.9170282,38.6816015,100,6100
69.0869556,38.6795026,150,6100
69.2568801,38.6771322,200,6100
69.4234486,38.674545,249,6100
68.575602,38.5500347,0,6150
68.7454279,38.5484758,50,6150
68.915157,38.546647,100,6150
69.0848363,38.5445483,150,6150
69.2545127,38.542179,200,6150
69.420838,38.539594,249,6150
68.5742798,38.4151372,0,6200
68.7438589,38.4135792,50,6200
68.9133414,38.4117523,100,6200
69.0827743,38.4096564,150,6200
69.2522045,38.407291,200,6200
69.4182886,38.4047106,249,6200
68.5729597,38.2802761,0,6250
68.7422938,38.2787198,50,6250
68.9115314,38.2768956,100,6250
69.0807196,38.2748034,150,6250
69.2499053,38.2724425,200,6250
69.4157498,38.2698676,249,6250
68.5716169,38.1453527,0,6300
68.7407079,38.1437964,50,6300
68.9097026,38.1419732,100,6300
69.078648,38.1398829,150,6300
69.2475909,38.1375249,200,6300
69.4131976,38.1349537,249,6300
68.5702888,38.0104614,0,6350
68.7391383,38.008905,50,6350
68.9078918,38.0070826,100,6350
69.0765961,38.0049939,150,6350
69.245298,38.0026387,200,6350
69.4106686,38.000071,249,6350
68.5689445,37.8755311,0,6400
68.7375545,37.8739741,50,6400
68.9060686,37.8721521,100,6400
69.0745336,37.8700648,150,6400
69.2429962,37.8677118,200,6400
69.4081323,37.8651473,249,6400
68.5675739,37.7405582,0,6450
68.7359463,37.7389979,50,6450
68.9042229,37.7371734,100,6450
69.0724503,37.7350847,150,6450
69.2406754,37.7327311,200,6450
69.4055786,37.730167,249,6450
68.5662288,37.6057984,0,6500
68.7343649,37.604238,50,6500
68.9024052,37.6024144,100,6500
69.0703965,37.6003275,150,6500
69.2383854,37.5979767,200,6500
69.4030572,37.5954163,249,6500
68.5648732,37.470926,0,6550
68.732775,37.469364,50,6550
68.900581,37.4675398,100,6550
69.068338,37.4654532,150,6550
69.2360926,37.4631037,200,6550
69.4005348,37.4605454,249,6550
68.5636292,37.3361378,0,6600
68.7312975,37.3345813,50,6600
68.8988705,37.3327634,100,6600
69.0663949,37.3306841,150,6600
69.2339171,37.3283429,200,6600
69.3981319,37.3257935,249,6600
68.5622766,37.2011857,0,6650
68.7297141,37.1996269,50,6650
68.8970563,37.1978079,100,6650
69.0643499,37.1957283,150,6650
69.2316414,37.1933877,200,6650
69.3956299,37.1908399,249,6650
68.5609093,37.0662215,0,6700
68.7281177,37.0646591,50,6700
68.8952309,37.0628373,100,6700
69.0622954,37.0607559,150,6700
69.2293577,37.0584144,200,6700
69.3931216,37.0558667,249,6700
68.5596088,36.9313908,0,6750
68.7265892,36.9298301,50,6750
68.8934746,36.9280109,100,6750
69.0603115,36.925933,150,6750
69.2271464,36.923596,200,6750
69.3906874,36.9210535,249,6750
68.5583508,36.7965816,0,6800
68.7251046,36.7950234,50,6800
68.8917637,36.7932077,100,6800
69.0583746,36.7911342,150,6800
69.2249837,36.7888025,200,6800
69.3883038,36.7862662,249,6800
68.5570197,36.6617333,0,6850
68.7235491,36.6601733,50,6850
68.8899837,36.6583567,100,6850
69.0563703,36.6562833,150,6850
69.2227551,36.6539526,200,6850
69.3858553,36.6514181,249,6850
68.5557128,36.5269295,0,6900
68.722019,36.5253697,50,6900
68.8882308,36.5235542,100,6900
69.0543946,36.5214828,150,6900
69.2205567,36.5191551,200,6900
69.3834388,36.5166244,249,6900
68.554381,36.3920812,0,6950
68.7204661,36.3905197,50,6950
